epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,378.038,0.40854,0.39266,0.29908,0.78598,0.99967,1,0.995,0.93975,0.99967,1,0.995,0.65046,0.32488,0.25925,0.22695,0.80671,0.0008318,0.0008318,0.0008318
61,383.768,0.42049,0.39088,0.30468,0.7834,0.99966,1,0.995,0.92372,0.99966,1,0.995,0.66415,0.37491,0.29603,0.24143,0.8087,0.000812,0.000812,0.000812
62,390.128,0.41051,0.39581,0.29583,0.78484,0.99967,1,0.995,0.94302,0.99967,1,0.995,0.64049,0.30673,0.25578,0.22133,0.80362,0.0007922,0.0007922,0.0007922
63,395.491,0.39214,0.38336,0.29372,0.78856,0.99968,1,0.995,0.94352,0.99968,1,0.995,0.66068,0.32606,0.26771,0.22366,0.80609,0.0007724,0.0007724,0.0007724
64,401.79,0.39628,0.35984,0.29055,0.78371,0.99968,1,0.995,0.94768,0.99968,1,0.995,0.64106,0.31789,0.29958,0.21368,0.80511,0.0007526,0.0007526,0.0007526
65,407.284,0.38779,0.35567,0.28529,0.78014,0.99968,1,0.995,0.93823,0.99968,1,0.995,0.67814,0.32332,0.27753,0.21549,0.80538,0.0007328,0.0007328,0.0007328
66,413.261,0.39736,0.38509,0.28979,0.7825,0.99965,1,0.995,0.9567,0.99965,1,0.995,0.64763,0.30715,0.27195,0.2261,0.80433,0.000713,0.000713,0.000713
67,418.923,0.39308,0.36968,0.28743,0.77926,0.99958,1,0.995,0.94384,0.99958,1,0.995,0.66525,0.32193,0.28106,0.22207,0.80538,0.0006932,0.0006932,0.0006932
68,424.576,0.38757,0.37163,0.2829,0.78164,0.99969,1,0.995,0.92627,0.99969,1,0.995,0.66769,0.36706,0.28136,0.23012,0.80842,0.0006734,0.0006734,0.0006734
69,430.68,0.40152,0.3909,0.28918,0.78598,0.99968,1,0.995,0.94001,0.99968,1,0.995,0.67311,0.33124,0.28601,0.2246,0.80445,0.0006536,0.0006536,0.0006536
70,435.623,0.39388,0.37362,0.28787,0.78659,0.99967,1,0.995,0.93259,0.99967,1,0.995,0.66971,0.35794,0.2702,0.22837,0.80885,0.0006338,0.0006338,0.0006338
71,442.374,0.3796,0.34707,0.28363,0.78176,0.99966,1,0.995,0.95773,0.99966,1,0.995,0.66385,0.28975,0.25334,0.19814,0.80284,0.000614,0.000614,0.000614
72,447.86,0.36637,0.35764,0.26907,0.78207,0.99968,1,0.995,0.94963,0.99968,1,0.995,0.68187,0.33082,0.2565,0.21777,0.80425,0.0005942,0.0005942,0.0005942
73,454.267,0.38042,0.36361,0.27582,0.77528,0.99966,1,0.995,0.95472,0.99966,1,0.995,0.67184,0.3053,0.26109,0.20024,0.8032,0.0005744,0.0005744,0.0005744
